seed,model,memory,context,self_state,relation,macro_clean,macro_noisy,robustness_retention,encode_ms_per_sample,feature_dim,trainable_readout_parameters,trainable_internal_parameters
0,attention,1.0,0.928,0.716,1.0,0.911,0.776,0.8518111964873765,0.07901017999938631,192,3667,0
0,nd_state,1.0,0.828,0.724,1.0,0.8879999999999999,0.811,0.9132882882882885,1.5571546040009707,192,3667,0
0,nd_l2_feedback,1.0,0.864,0.712,1.0,0.8939999999999999,0.85,0.9507829977628636,4.8413313279997965,192,3667,0
0,nd_l2_gated,1.0,1.0,0.728,1.0,0.9319999999999999,0.9169999999999999,0.9839055793991416,5.751321927999015,192,3667,6
0,nd_l2_virtual,1.0,1.0,0.728,1.0,0.9319999999999999,0.9169999999999999,0.9839055793991416,0.16738818399971933,192,3667,6
0,nd_l2_jit,1.0,1.0,0.728,1.0,0.9319999999999999,0.9169999999999999,0.9839055793991416,0.10353460399892356,192,3667,6
1,attention,1.0,0.932,0.704,1.0,0.909,0.765,0.8415841584158416,0.07232804399973247,192,3667,0
1,nd_state,1.0,0.82,0.704,1.0,0.881,0.8250000000000001,0.9364358683314417,1.5505948680001893,192,3667,0
1,nd_l2_feedback,1.0,0.84,0.732,1.0,0.893,0.851,0.9529675251959686,4.890307519999624,192,3667,0
1,nd_l2_gated,1.0,1.0,0.708,1.0,0.927,0.91,0.9816612729234089,5.736148715999661,192,3667,6
1,nd_l2_virtual,1.0,1.0,0.708,1.0,0.927,0.91,0.9816612729234089,0.16754036800011818,192,3667,6
1,nd_l2_jit,1.0,1.0,0.708,1.0,0.927,0.91,0.9816612729234089,0.09963006399993901,192,3667,6
2,attention,1.0,0.92,0.728,1.0,0.9119999999999999,0.729,0.799342105263158,0.07165308399999049,192,3667,0
2,nd_state,1.0,0.824,0.752,1.0,0.8939999999999999,0.807,0.9026845637583895,1.5336018159996456,192,3667,0
2,nd_l2_feedback,1.0,0.872,0.74,1.0,0.903,0.854,0.945736434108527,4.627603420000014,192,3667,0
2,nd_l2_gated,1.0,1.0,0.7,1.0,0.925,0.9199999999999999,0.9945945945945944,5.610970391999217,192,3667,6
2,nd_l2_virtual,1.0,1.0,0.7,1.0,0.925,0.9199999999999999,0.9945945945945944,0.16049257999839028,192,3667,6
2,nd_l2_jit,1.0,1.0,0.7,1.0,0.925,0.9199999999999999,0.9945945945945944,0.0779335440001887,192,3667,6
3,attention,1.0,0.96,0.764,1.0,0.931,0.789,0.8474758324382384,0.06531618400003936,192,3667,0
3,nd_state,1.0,0.836,0.772,1.0,0.9019999999999999,0.8160000000000001,0.9046563192904657,1.4310935119992791,192,3667,0
3,nd_l2_feedback,1.0,0.848,0.784,1.0,0.9079999999999999,0.872,0.9603524229074891,4.784513020000304,192,3667,0
3,nd_l2_gated,1.0,1.0,0.796,1.0,0.9490000000000001,0.9369999999999999,0.9873551106427817,5.481170392000422,192,3667,6
3,nd_l2_virtual,1.0,1.0,0.796,1.0,0.9490000000000001,0.9369999999999999,0.9873551106427817,0.15272299600110273,192,3667,6
3,nd_l2_jit,1.0,1.0,0.796,1.0,0.9490000000000001,0.9369999999999999,0.9873551106427817,0.10526907599887636,192,3667,6
4,attention,1.0,0.956,0.712,1.0,0.917,0.76,0.8287895310796074,0.0799105120004242,192,3667,0
4,nd_state,1.0,0.888,0.692,1.0,0.895,0.803,0.8972067039106145,1.630842840000696,192,3667,0
4,nd_l2_feedback,1.0,0.868,0.692,1.0,0.8899999999999999,0.848,0.9528089887640451,4.600889391998862,192,3667,0
4,nd_l2_gated,1.0,1.0,0.692,1.0,0.923,0.914,0.9902491874322861,5.941768028000297,192,3667,6
4,nd_l2_virtual,1.0,1.0,0.692,1.0,0.923,0.914,0.9902491874322861,0.13561027200012177,192,3667,6
4,nd_l2_jit,1.0,1.0,0.692,1.0,0.923,0.914,0.9902491874322861,0.10035927600074501,192,3667,6
